Configuration	Term	g	Level (eV)
3p6	1S	1	0
3p5.4s	3P*	5	20.147767
3p5.4s	3P*	3	20.238213
3p5.3d	3P*	1	20.262998
3p5.3d	3P*	3	20.394409
3p5.3d	3P*	5	20.448453
3p5.4s	3P*	1	20.47542
3p5.4s	1P*	3	20.638075
3p5.3d	3F*	9	21.083414
3p5.3d	3F*	7	21.180357
3p5.3d	3F*	5	21.266092
3p5.3d	1D*	5	22.236467
3p5.3d	3D*	7	22.242244
3p5.3d	3D*	5	22.365844
3p5.3d	3D*	3	22.372812
3p5.3d	1F*	7	22.393865
3p5.4p	3S	3	22.714413
3p5.4p	3D	7	23.108646
3p5.4p	3D	5	23.145544
3p5.4p	3D	3	23.250385
3p5.4p	1D	5	23.327664
3p5.4p	1P	3	23.462708
3p5.4p	3P	5	23.514521
3p5.4p	3P	1	23.528233
3p5.4p	3P	3	23.573202
3p5.4p	1S	1	24.148675
3p5.3d	1P*	3	25.039551
3p5.(2P*<3/2>).5s	2[3/2]*	5	26.35547
3p5.(2P*<3/2>).5s	2[3/2]*	3	26.407221
3p5.(2P*<1/2>).5s	2[1/2]*	1	26.622222
3p5.(2P*<1/2>).5s	2[1/2]*	3	26.658413
3p5.4d	3P*	1	26.67
3p5.4d	3P*	3	26.706308
3p5.4d	3P*	5	26.762175
3p5.4d	3F*	9	26.78
3p5.4d	3F*	7	26.84
3p5.4d	3F*	5	26.912245
3p5.4d	3D*	7	26.994125
3p5.4d	1D*	5	27.14
3p5.4d	3D*	3	27.15
3p5.4d	3D*	5	27.176357
3p5.4d	1F*	7	27.2
3p5.(2P*<3/2>).4f	2[3/2]	3	28.156923
3p5.(2P*<3/2>).4f	2[3/2]	5	28.159688
3p5.(2P*<3/2>).4f	2[9/2]	11	28.17243
3p5.(2P*<3/2>).4f	2[9/2]	9	28.173004
3p5.(2P*<3/2>).4f	2[5/2]	7	28.187051
3p5.(2P*<3/2>).4f	2[5/2]	5	28.18994
3p5.(2P*<3/2>).4f	2[7/2]	7	28.20452
3p5.(2P*<3/2>).4f	2[7/2]	9	28.204855
3p5.(2P*<1/2>).4f	2[7/2]	7	28.453443
3p5.(2P*<1/2>).4f	2[7/2]	9	28.45386
3p5.(2P*<1/2>).4f	2[5/2]	7	28.455241
3p5.(2P*<1/2>).4f	2[5/2]	5	28.457461
3p5.6s	(3/2,1/2)*	3	28.58
3p5.5d	(3/2,3/2)*	3	28.73
3p5.6s	(1/2,1/2)*	3	28.84
3p5.5d	(3/2,5/2)*	3	28.98
3p5.5d	(1/2,3/2)*	3	29.38
3p5.(2P*<3/2>).5f	2[3/2]	3	29.40963
3p5.(2P*<3/2>).5f	2[3/2]	5	29.41158
3p5.(2P*<3/2>).5f	2[9/2]	11	29.41788
3p5.(2P*<3/2>).5f	2[9/2]	9	29.418388
3p5.(2P*<3/2>).5f	2[5/2]	7	29.426285
3p5.(2P*<3/2>).5f	2[5/2]	5	29.42848
3p5.(2P*<3/2>).5f	2[7/2]	9	29.43474
3p5.(2P*<3/2>).5f	2[7/2]	7	29.434902
3p5.7s	(3/2,1/2)*	3	29.63
3p5.(2P*<1/2>).5f	2[7/2]	7	29.69241
3p5.(2P*<1/2>).5f	2[5/2]	7	29.69257
3p5.(2P*<1/2>).5f	2[7/2]	9	29.69269
3p5.(2P*<1/2>).5f	2[5/2]	5	29.69462
3p5.6d	(3/2,3/2)*	3	29.71
3p5.6d	(3/2,5/2)*	3	29.88
3p5.7s	(1/2,1/2)*	3	29.88
3p5.(2P*<3/2>).6f	2[3/2]	3	30.09005
3p5.(2P*<3/2>).6f	2[3/2]	5	30.091
3p5.(2P*<3/2>).6f	2[9/2]	11	30.09452
3p5.(2P*<3/2>).6f	2[9/2]	9	30.09496
3p5.(2P*<3/2>).6f	2[5/2]	7	30.09979
3p5.(2P*<3/2>).6f	2[5/2]	5	30.10024
3p5.(2P*<3/2>).6f	2[7/2]	7	30.10468
3p5.(2P*<3/2>).6f	2[7/2]	9	30.10474
3p5.6d	(1/2,3/2)*	3	30.12
3p5.8s	(3/2,1/2)*	3	30.21
3p5.7d	(3/2,3/2)*	3	30.26
3p5.(2P*<1/2>).6f	2[7/2]	7	30.364
3p5.(2P*<1/2>).6f	2[7/2]	9	30.364
3p5.(2P*<1/2>).6f	2[5/2]	7	30.364
3p5.(2P*<1/2>).6f	2[5/2]	5	30.366
3p5.7d	(3/2,5/2)*	3	30.38
3p5.8s	(1/2,1/2)*	3	30.48
3p5.7d	(1/2,3/2)*	3	30.57
3p5.8d	(3/2,5/2)*	3	30.7
3p5.8d	(3/2,3/2)*	3	30.93
3p5.8d	(1/2,3/2)*	3	31.1026